"Statistic Label","Month","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2021 January","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","59"
"Volume of Sales","2021 January","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","39"
"Volume of Sales","2021 January","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Number","7"
"Volume of Sales","2021 January","Dublin","New","Executions","Non-Household Buyer","Market","Number","147"
"Volume of Sales","2021 January","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","216"
"Volume of Sales","2021 January","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","389"
"Volume of Sales","2021 January","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","54"
"Volume of Sales","2021 January","Dublin","Existing","Executions","Non-Household Buyer","Market","Number","237"
"Volume of Sales","2021 February","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","65"
"Volume of Sales","2021 February","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","72"
"Volume of Sales","2021 February","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Number","5"
"Volume of Sales","2021 February","Dublin","New","Executions","Non-Household Buyer","Market","Number","184"
"Volume of Sales","2021 February","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","267"
"Volume of Sales","2021 February","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","461"
"Volume of Sales","2021 February","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","61"
"Volume of Sales","2021 February","Dublin","Existing","Executions","Non-Household Buyer","Market","Number","258"
"Volume of Sales","2021 March","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","68"
"Volume of Sales","2021 March","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","61"
"Volume of Sales","2021 March","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Number","9"
"Volume of Sales","2021 March","Dublin","New","Executions","Non-Household Buyer","Market","Number","59"
"Volume of Sales","2021 March","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","303"
"Volume of Sales","2021 March","Dublin","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","556"
"Volume of Sales","2021 March","Dublin","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","109"
"Volume of Sales","2021 March","Dublin","Existing","Executions","Non-Household Buyer","Market","Number","241"
"Volume of Sales","2021 April","Dublin","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","66"
"Volume of Sales","2021 April","Dublin","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","61"
"Volume of Sales","2021 April","Dublin","New","Executions","Household Buyer - Non-Occupier","Market","Number","10"
"Volume of Sales","2021 April","Dublin","New","Executions","Non-Household Buyer","Market","Number","143"
"Volume of Sales","2021 April","Dublin","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","243"
